Flight ID,Source airport,Destination airport,Departure time,Duration
1,AER,VKO,0.0,2.0
2,AER,LBD,11.0,16.0
3,AER,SVX,11.5,3.5
4,AER,OMS,14.0,11.0
5,AER,LED,16.5,15.0
6,AER,MSQ,6.0,5.5
7,AER,KZN,15.0,7.0
8,AER,SVO,5.0,8.5
9,AER,TAS,16.0,1.5
10,ASF,MRV,3.5,8.5
11,ASF,DME,10.0,8.0
12,ASF,SVO,16.0,13.5
13,CEK,EVN,5.0,12.0
14,CEK,DYU,2.5,5.0
15,CEK,DWC,8.0,17.0
16,CEK,LED,21.5,8.5
17,CEK,DME,3.0,8.5
18,CEK,PRG,17.0,2.5
19,CEK,KZN,18.0,7.5
20,CEK,SVO,17.0,3.0
21,CEK,TAS,11.5,9.5
22,DME,RGK,8.0,17.5
23,DME,PYJ,20.5,18.5
24,DME,LGW,14.5,7.0
25,DME,PWQ,12.5,18.0
26,DME,VOG,2.5,1.0
27,DME,BRU,21.5,8.5
28,DME,ASB,15.0,3.5
29,DME,KSQ,4.0,5.0
30,DME,ROV,4.0,6.0
31,DME,KJA,12.0,16.5
32,DME,SKX,0.5,2.5
33,DME,IEV,17.0,14.0
34,DME,NOJ,11.0,13.0
35,DME,VKT,7.0,1.0
36,DME,LCA,13.5,4.0
37,DME,OMS,5.0,16.5
38,DME,VLC,11.0,6.0
39,DME,VVO,10.0,12.5
40,DME,PMI,0.5,0.0
41,DME,NJC,20.5,2.0
42,DME,AUH,10.5,14.5
43,DME,TLV,16.0,1.5
44,DME,EGO,19.5,11.5
45,DME,SAW,12.5,1.0
46,DME,IJK,10.5,17.5
47,DME,TFS,0.0,4.0
48,DME,HAN,6.0,6.5
49,DME,LWN,7.0,16.5
50,DME,VAR,12.5,15.5
51,DME,GBB,4.0,3.0
52,DME,AMM,18.5,16.5
53,DME,MJZ,9.0,6.0
54,DME,HEL,1.5,18.0
55,DME,BCN,2.0,0.0
56,DME,NRT,18.5,10.5
57,DME,GVA,12.5,5.0
58,DME,GOA,19.0,2.5
59,DME,HTA,0.5,14.5
60,DME,AAQ,8.5,11.5
61,DME,PFO,3.0,17.0
62,DME,LLK,3.0,4.5
63,DME,MLA,13.5,2.0
64,DME,UKK,2.0,6.0
65,DME,ATH,18.5,15.0
66,DME,LHR,5.0,1.0
67,DME,CMB,20.0,13.5
68,DME,KRR,10.5,1.0
69,DME,NCU,20.0,16.0
70,DME,ESL,6.0,4.5
71,DME,SCO,15.5,15.5
72,DME,TGD,22.5,17.5
73,DME,TIV,10.5,5.0
74,DME,YKS,0.0,5.5
75,DME,RTW,9.0,8.0
76,DME,PUJ,3.0,6.5
77,DME,SIN,0.5,2.0
78,DME,CFU,9.5,16.5
79,DME,NVI,17.0,13.5
80,DME,DOK,22.0,9.5
81,DME,OVB,14.0,18.0
82,DME,CEK,3.0,3.0
83,DME,LBD,7.0,9.5
84,DME,RMI,16.0,5.5
85,DME,DLM,15.5,6.0
86,DME,HMA,12.0,7.5
87,DME,UGC,7.0,2.0
88,DME,HKT,18.5,7.5
89,DME,GYD,1.5,11.0
90,DME,KVK,19.5,7.5
91,DME,LED,21.5,5.0
92,DME,MAD,13.5,17.0
93,DME,AGP,9.0,11.5
94,DME,RHO,14.0,9.0
95,DME,TJU,20.5,2.0
96,DME,AZN,3.0,18.0
97,DME,GRV,22.0,17.5
98,DME,PES,14.0,10.5
99,DME,TOF,18.0,8.5
100,DME,HRG,2.5,10.0
101,DME,KIV,15.5,1.0
102,DME,NSK,16.5,1.0
103,DME,KHV,0.0,4.5
104,DME,SHJ,19.0,2.0
105,DME,NUX,17.0,11.5
106,DME,OGZ,8.0,17.0
107,DME,FEG,23.0,17.0
108,DME,KGD,9.5,10.5
109,DME,PED,22.5,13.0
110,DME,MAN,10.0,15.5
111,DME,HER,21.5,10.0
112,DME,NMA,23.5,3.0
113,DME,OSW,17.5,14.0
114,DME,SGN,6.0,10.0
115,DME,RIX,19.0,2.0
116,DME,KUF,3.0,5.0
117,DME,DXB,9.0,4.0
118,DME,VIE,23.0,1.5
119,EGO,KRR,3.5,3.5
120,EGO,FRU,15.0,13.0
121,EGO,LED,15.5,1.0
122,EGO,KUF,7.5,18.0
123,EGO,DME,9.5,18.5
124,EGO,KZN,4.5,9.5
125,EGO,ROV,0.5,17.0
126,GYD,CDG,14.0,10.5
127,GYD,PEK,14.0,2.5
128,GYD,PRG,2.0,12.0
129,GYD,TSE,4.5,5.0
130,GYD,FRA,0.5,14.0
131,GYD,ASB,21.0,10.0
132,GYD,FCO,14.0,15.0
133,GYD,ESB,17.5,2.5
